Bin,Voltage[V],Current[A],Limit,Ihlal,Band
276,153.34585098587976,1.597744292228739,160.0,False,25us
277,141.73377106419466,1.7779497137295082,160.0,False,25us
278,154.70628561406443,1.8650635150805273,160.0,False,25us
279,135.08703434884097,2.070428096023857,160.0,False,25us
280,167.48634004816225,2.091334110920437,160.0,False,25us
281,138.77757697440293,2.2893158371794873,160.0,False,25us
282,178.130741800284,2.186495705102041,160.0,False,25us
283,139.39593532716188,2.3368977866906477,160.0,False,25us
284,180.42528292461577,2.222634476683087,160.0,False,25us
285,153.0829125341558,2.294773688631579,160.0,False,25us
286,166.0974660223187,2.1927623504385965,160.0,False,25us
287,149.7050633091683,2.11370959667319,160.0,False,25us
288,165.25156469066616,2.02195569251497,160.0,False,25us
289,140.21988592162475,1.864913907465619,160.0,False,25us
290,173.6998522884468,1.7830138626841245,160.0,False,25us
291,149.9423261814795,1.5042960509803922,160.0,False,25us
292,155.6727658421844,1.5221366088566828,160.0,False,25us
293,159.65344492680538,1.180061826543624,160.0,False,25us
294,152.87525168423628,1.1105889836106488,160.0,False,25us
295,168.7647558019174,0.8165626893497364,160.0,False,25us
296,173.3500021218582,0.7373497466876973,160.0,False,25us
297,187.45246631775058,0.4532721311139565,160.0,False,25us
298,161.01516113425367,0.3395472436803519,160.0,False,25us
299,120.30966167557115,0.1096207195280269,160.0,False,25us
300,39.0681974330642,0.0692613133406922,156.36923301897014,False,25us
301,155.05416745757745,0.11102122235479199,160.0,False,25us
302,167.20703119490855,0.345818425643741,160.0,False,25us
303,170.9689657751082,0.39691081935313,160.0,False,25us
304,160.3387735228669,0.66457043434375,160.0,False,25us
305,170.13876658754253,0.6742591083015873,160.0,False,25us
306,159.64122452798838,0.9852833257545606,160.0,False,25us
307,173.19405045500173,0.9829089791438357,160.0,False,25us
308,154.29128463078044,1.2442228415460526,160.0,False,25us
309,166.89663857866395,1.166490899935065,160.0,False,25us
310,156.34303116860295,1.42943611486911,160.0,False,25us
311,159.25696480255928,1.3055400695826378,160.0,False,25us
312,157.56279176881964,1.5645690858557046,160.0,False,25us
313,168.1613109220823,1.3801383888495575,160.0,False,25us
314,162.0415264287179,1.6412653811410458,160.0,False,25us
315,164.1840775000447,1.3847233412086093,160.0,False,25us
316,159.64985141420436,1.6577740821105527,160.0,False,25us
317,166.56149130559646,1.3548526375752212,160.0,False,25us
318,155.66188503858447,1.5336996637979095,160.0,False,25us
319,167.21619247255023,1.2878273643598055,160.0,False,25us
320,154.6424197404435,1.4072067481164383,160.0,False,25us
321,179.08307607996497,1.1424836341681261,160.0,False,25us
322,156.79046164110653,1.2347076300503355,160.0,False,25us
323,169.1232622062607,0.9395114427444254,160.0,False,25us
324,159.96335293228972,1.0059094087748344,160.0,False,25us
325,177.33395903947084,0.6943320932045088,160.0,False,25us
326,178.01295627653403,0.7927729199394856,160.0,False,25us
327,179.7654598615316,0.49609349731297714,160.0,False,25us
328,166.2840445772137,0.5386198295209678,160.0,False,25us
329,184.67133942088927,0.30754612628301886,160.0,False,25us
330,152.48599377663294,0.2768671268208984,160.0,False,25us
331,164.53850244992387,0.1835149104770655,160.0,False,25us
332,107.08400926675398,0.09495847179660989,160.0,False,25us
333,21.514889566825488,0.028173774331595146,109.1818293970387,False,25us
334,98.1765416669984,0.05914165188979115,160.0,False,25us
335,175.16028274353073,0.13922561950472373,160.0,False,25us
